District,State,Birth_Registration,Electricity,Drinking_Water,Sanitation,Clean_Fuel,Health_Insurance,Female_Literacy,Female_10Y_Schooling,Early_Marriage,Adolescent_Pregnancy,Menstrual_Hygiene,ANC_First_Trimester,ANC_4plus,Postnatal_Care,Institutional_Births,Skilled_Birth_Attendance,Fully_Vaccinated,Vitamin_A,Diarrhoea_Prevalence,Stunting,Wasting,Underweight,Child_Anaemia,Infrastructure_Score,Education_Gender_Score,Maternal_Health_Score,Child_Health_Score,Child_Health_Indicators_Available,Overall_Development_Score,Development_Rank
Y.S.R.,Andhra Pradesh,0.8828996282527881,0.9921011058451816,0.9974498469908194,0.7946466506160601,0.9392410616363237,0.7469991721854304,0.41164921465968585,0.3533118798605524,0.5563270265578892,0.6016140865737345,0.9179447852760737,0.7924399563318777,0.8313713013044861,0.9034334763948499,0.9927480916030536,1.0,0.7194920844327176,0.8859487760011321,0.8496565759348768,0.5517386722866174,0.778517328436998,0.6462597355551531,0.4942610174295026,0.8922229109211005,0.5681693985855871,0.9039985651268534,0.7036963128681426,7,0.7670217968754209,129
Kurnool,Andhra Pradesh,0.7125154894671623,0.996208530805687,0.9639578374702481,0.6265401501203797,0.7618995393726694,0.7467922185430462,0.30055628272251306,0.26521855725395543,0.35879187641034543,0.5462215700660309,0.7684049079754601,0.7127456331877728,0.7412238837628592,0.8429452789699571,0.8539440203562342,0.8631624674196351,0.45646437994722966,0.7300127352483374,0.8865428644110913,0.21243414120126444,0.7186137250401653,0.29161383807281294,0.35043219498370415,0.8013189609631987,0.44783863888566094,0.8028042567392918,0.5208734112720864,7,0.6432088169650595,428
Anantapur,Andhra Pradesh,0.8816604708798017,0.9876777251184834,0.9795987759265555,0.5949582212151254,0.8533669664400088,0.7459644039735098,0.40821335078534027,0.23665862161437376,0.3527165422669675,0.5011005135730008,0.945333041191937,0.7371724890829695,0.6601972637607381,0.8603809012875537,0.9325699745547076,0.9758181291630466,,0.6828923164001699,0.9361485627066904,0.5194942044257113,0.6589396373651595,0.3946748777395399,0.5629871050021256,0.8405377605922474,0.4888044138863238,0.8332277515698031,0.6258561172732328,6,0.6971065108304018,306
Chittoor,Andhra Pradesh,0.8901280462618754,0.9917851500789888,0.9738184291057462,0.6426851720719446,0.8556701030927834,0.7192673841059601,0.5026178010471203,0.3584070796460176,0.5129317826766187,0.2762289068231842,0.941498685363716,0.7359443231441047,0.6460918443101071,0.9234173819742488,0.9631043256997455,0.9645236026643498,,0.6998726475166267,0.8784024421266853,0.7070600632244467,0.7622217121872848,0.6243434160478174,0.5754569930565396,0.845559047452883,0.5183368511113313,0.8466162955585113,0.7078928790265667,6,0.7296012682873231,220
Tawang,Arunachal Pradesh,0.9035522511358942,0.9911532385466034,0.9960897653859231,0.7429542557711374,0.8717920596622065,0.3347475165562914,0.3350785340314136,0.34379190131402515,0.7930914771741017,0.9482758620689655,0.8732471516213848,0.7308951965065501,0.3526354862657758,0.3307403433476395,0.7987277353689569,0.8530263538951636,0.4645448548812665,0.8050091976793547,0.6245230221317731,0.6373024236037934,0.9394078494376865,0.9661293243977541,0.08317982145387565,0.8067148478430094,0.6586969852419781,0.6132050230768172,0.6457280705122149,7,0.6810862316685049,340
West Kameng,Arunachal Pradesh,0.9450640231309377,0.9210110584518167,0.9959197551853112,0.8446395694660813,0.880894933099364,0.3843129139072848,0.5741164921465968,0.4019844462322337,0.7837181044957473,0.9497432134996331,0.8934049079754601,0.25668668122270744,0.24636758935199915,0.1866952789699571,0.9181933842239185,0.8845931074428034,,0.7414744587519457,0.745103027219537,0.7667017913593255,0.5708056001836126,0.8864336170983518,0.4089556468754428,0.8286403755401325,0.7205934328699342,0.49850720824227707,0.6865790235813692,6,0.6835800100584283,335
East Kameng,Arunachal Pradesh,0.6142090045435769,0.5665086887835704,0.8908534512070724,0.6558561110324317,0.4481245887255977,0.24730960264900664,0.38547120418848163,0.24456958970233306,0.5398368338830064,0.7046955245781364,0.8400525854513585,0.20933406113537112,0.262594124509492,0.38505901287553645,0.694147582697201,0.7148856067187953,0.35405672823219,0.572378661383897,0.8153141694225389,0.5256059009483667,0.7388111085609363,0.8719434884984604,0.6210854470738274,0.5704769078235427,0.5429251475606632,0.4532040775872792,0.6427422148743167,7,0.5523370869614505,601
Papum Pare,Arunachal Pradesh,0.4915324246179264,0.9595576619273302,0.8791227473648419,0.6579804560260587,0.7972143013818819,0.26686672185430466,0.6482329842931936,0.4942343791901313,0.5585835792397154,0.7817314746881878,0.9498247151621385,0.16471069868995633,0.3703468024180719,0.3786212446351931,0.847201017811705,0.804807413843035,0.3522427440633245,0.6793547474175747,0.882727041465276,0.6510010537407798,0.8969474408997016,0.8469480166636479,0.5965707807850361,0.6753790521953906,0.6865214265146733,0.5131374354795922,0.7008274035764773,7,0.6439663294415334,427
Upper Subansiri,Arunachal Pradesh,0.5640231309376291,0.5879936808846761,0.9104046242774567,0.7320492848038523,0.26497038824303576,0.21047185430463575,0.42064790575916233,0.24403325288281041,0.5372331192501302,0.5161408657373442,0.9201358457493426,0.11353711790393013,0.294304804327076,0.42623390557939916,0.7067430025445294,0.7298001737619462,0.47971635883905017,0.44545068628838264,0.8499109641312643,0.5020021074815595,0.8230433784714253,0.7824669443941316,0.4968116763497237,0.5449854939085476,0.5276381978757579,0.4541238008233762,0.6256288737079337,7,0.5380940915789039,611
Upper Siang,Arunachal Pradesh,0.5766212308963239,0.9829383886255922,0.9969398163889832,0.885285370344144,0.3039043649923229,0.34612996688741726,0.5852421465968587,0.28358809332260654,0.7040444367297345,0.7410124724871607,0.9070990359333917,0.3846888646288209,0.3144554035422632,0.4218079399141631,0.6944020356234097,0.6922965537214016,,0.5565303523418709,0.8417705418468583,0.6373024236037934,0.815698875372963,0.9125158485781562,0.6301544565679468,0.6819698563557973,0.6441972370139505,0.5015301594860118,0.7323287497185982,6,0.6400065006435894,434
